Total Nacional;Sexo;Edad;Periodo;Total
Total Nacional;Total;Menos de 18 años;2022;1.376
Total Nacional;Total;Menos de 5 años;2022;342
Total Nacional;Total;De 5 a 9 años;2022;323
Total Nacional;Total;De 10 a 14 años  ;2022;451
Total Nacional;Total;De 15 a 17 años;2022;260
Total Nacional;Hombres;Menos de 18 años;2022;645
Total Nacional;Hombres;Menos de 5 años;2022;153
Total Nacional;Hombres;De 5 a 9 años;2022;164
Total Nacional;Hombres;De 10 a 14 años  ;2022;219
Total Nacional;Hombres;De 15 a 17 años;2022;109
Total Nacional;Mujeres;Menos de 18 años;2022;731
Total Nacional;Mujeres;Menos de 5 años;2022;189
Total Nacional;Mujeres;De 5 a 9 años;2022;159
Total Nacional;Mujeres;De 10 a 14 años  ;2022;232
Total Nacional;Mujeres;De 15 a 17 años;2022;151
